entityType,table,model,field,recordId,displayName,sku,oldUrl,proposedLocalPath,proposedPublicUrl,duplicateOf,duplicateSafe,usesFallbackName,status,error
products,ProductImage,productImage,url,cmnpoa6cm0022pe2exa01ovyz,Purjix Premium Back Panel for Oppo A59 5g,OppA595G-BacPan-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1774606214/sparekart/products/Oppo-A59-5g-Back-Panel-Front-Side-Image-Gold-Colour_izykwu.jpg,/var/www/purjix-uploads/products/oppa595g-bacpan-001-purjix-premium-back-panel-for-oppo-a59-5g-667c9612d0.jpg,/uploads/products/oppa595g-bacpan-001-purjix-premium-back-panel-for-oppo-a59-5g-667c9612d0.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnpoa6cm0023pe2esn4v8mn5,Purjix Premium Back Panel for Oppo A59 5g,OppA595G-BacPan-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1774606209/sparekart/products/Oppo-A59-5g-Back-Panel-Back-Side-Image_olxygm.jpg,/var/www/purjix-uploads/products/oppa595g-bacpan-001-purjix-premium-back-panel-for-oppo-a59-5g-5b74e51a4d.jpg,/uploads/products/oppa595g-bacpan-001-purjix-premium-back-panel-for-oppo-a59-5g-5b74e51a4d.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnpr463p002ipe2e9rx753e2,PURJIX PREMIUM MIDDLE FLEX OPPO RENO 13 5G,OppRen13-B2BFle-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775634783/sparekart/products/1000186027_w0i2j4.png,/var/www/purjix-uploads/products/oppren13-b2bfle-001-purjix-premium-middle-flex-oppo-reno-13-5g-cd126fd3cb.png,/uploads/products/oppren13-b2bfle-001-purjix-premium-middle-flex-oppo-reno-13-5g-cd126fd3cb.png,,false,false,planned,
products,ProductImage,productImage,url,cmnpr463p002jpe2e2nxpoyft,PURJIX PREMIUM MIDDLE FLEX OPPO RENO 13 5G,OppRen13-B2BFle-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775634786/sparekart/products/1000186023_afokgt.png,/var/www/purjix-uploads/products/oppren13-b2bfle-001-purjix-premium-middle-flex-oppo-reno-13-5g-7f1e3d21b7.png,/uploads/products/oppren13-b2bfle-001-purjix-premium-middle-flex-oppo-reno-13-5g-7f1e3d21b7.png,,false,false,planned,
products,ProductImage,productImage,url,cmnq5bkuz000aow2dggp4tsnx,PREMIUM PURJIX RENO 13 5G RINGER,OppRen13-Rin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775658652/sparekart/products/1000186297_xyxhny.jpg,/var/www/purjix-uploads/products/oppren13-rin-001-premium-purjix-reno-13-5g-ringer-ab49c7a1cc.jpg,/uploads/products/oppren13-rin-001-premium-purjix-reno-13-5g-ringer-ab49c7a1cc.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnrbgk0k0006sw1tblywdokh,PURJIX PREMIUM OPPO A38 RINGER / LOUDSPEAKER,Opp-A38-Rin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775729431/sparekart/products/1000189137_uqcqoo.jpg,/var/www/purjix-uploads/products/opp-a38-rin-001-purjix-premium-oppo-a38-ringer-loudspeaker-e57737c1e6.jpg,/uploads/products/opp-a38-rin-001-purjix-premium-oppo-a38-ringer-loudspeaker-e57737c1e6.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnrbqzqq000isw1tw9nbrmvg,PURJIX PREMIUM OPPO A38 REAR CAMERA,Opp-A38-BacCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775729918/sparekart/products/1000189139_zg6hyc.jpg,/var/www/purjix-uploads/products/opp-a38-baccam-001-purjix-premium-oppo-a38-rear-camera-6e32864dfb.jpg,/uploads/products/opp-a38-baccam-001-purjix-premium-oppo-a38-rear-camera-6e32864dfb.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnrcjz92001asw1tejvnvkfs,PURJIX PREMIUM OPPO A38 FINGER SENSOR GOLD COLOUR,Opp-A38-FinSen-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775730219/sparekart/products/1000189140_bokht6.jpg,/var/www/purjix-uploads/products/opp-a38-finsen-001-purjix-premium-oppo-a38-finger-sensor-gold-colour-8df373085a.jpg,/uploads/products/opp-a38-finsen-001-purjix-premium-oppo-a38-finger-sensor-gold-colour-8df373085a.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnri8lul0022sw1tp3vznd9j,PURJIX PREMIUM OPPO A3 PRO CHARGING PCB,Opp-A3PrCha-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775740821/sparekart/products/1000189308_a9rw7h.jpg,/var/www/purjix-uploads/products/opp-a3prcha-001-purjix-premium-oppo-a3-pro-charging-pcb-9a89ca1193.jpg,/uploads/products/opp-a3prcha-001-purjix-premium-oppo-a3-pro-charging-pcb-9a89ca1193.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmnrihou4002esw1t7l8xkpnp,PURJIX PREMIUM OPPO A3 PRO REAR CAMERA,Opp-A3Pro-Cam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1775741242/sparekart/products/1000189311_nyjb5i.jpg,/var/www/purjix-uploads/products/opp-a3pro-cam-001-purjix-premium-oppo-a3-pro-rear-camera-f7aa413a76.jpg,/uploads/products/opp-a3pro-cam-001-purjix-premium-oppo-a3-pro-rear-camera-f7aa413a76.jpg,,false,false,planned,
